origin,dev,value
1,1,357848
1,2,766940
1,3,610542
1,4,482940
1,5,527326
1,6,574398
1,7,146342
1,8,139950
1,9,227229
1,10,67948
2,1,352118
2,2,884021
2,3,933894
2,4,1183289
2,5,445745
2,6,320996
2,7,527804
2,8,266172
2,9,425046
3,1,290507
3,2,1001799
3,3,926219
3,4,1016654
3,5,750816
3,6,146923
3,7,495992
3,8,280405
4,1,310608
4,2,1108250
4,3,776189
4,4,1562400
4,5,272482
4,6,352053
4,7,206286
5,1,443160
5,2,693190
5,3,991983
5,4,769488
5,5,504851
5,6,470639
6,1,396132
6,2,937085
6,3,847498
6,4,805037
6,5,705960
7,1,440823
7,2,847640
7,3,1131398
7,4,1063269
8,1,359480
8,2,1061648
8,3,1443370
9,1,376686
9,2,986608
10,1,344014
