origin,dev,value
0,0,5946975.0
0,1,3721237.0
0,2,895717.0
0,3,207760.0
0,4,206704.0
0,5,62124.0
0,6,65813.0
0,7,14850.0
0,8,11130.0
0,9,15813.0
1,0,6346756.0
1,1,3246406.0
1,2,723222.0
1,3,151797.0
1,4,67824.0
1,5,36603.0
1,6,52752.0
1,7,11186.0
1,8,11646.0
2,0,6269090.0
2,1,2976233.0
2,2,847053.0
2,3,262768.0
2,4,152703.0
2,5,65444.0
2,6,53545.0
2,7,8924.0
3,0,5863015.0
3,1,2683224.0
3,2,722532.0
3,3,190653.0
3,4,132976.0
3,5,88340.0
3,6,43329.0
4,0,5778885.0
4,1,2745229.0
4,2,653894.0
4,3,273395.0
4,4,230288.0
4,5,105224.0
5,0,6184793.0
5,1,2828338.0
5,2,572765.0
5,3,244899.0
5,4,104957.0
6,0,5600184.0
6,1,2893207.0
6,2,563114.0
6,3,225517.0
7,0,5288066.0
7,1,2440103.0
7,2,528043.0
8,0,5290793.0
8,1,2357936.0
9,0,5675568.0
